도서관명,시도명,시군구명,도서관유형,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),소재지도로명주소,부지면적,건물면적
구세군사랑듬book작은도서관,경상남도,함양군,작은도서관,12,1100,4,0,경상남도 함양군 안의면 갈촌길 5,,
녹색대학문고,경상남도,함양군,작은도서관,20,6000,2,0,경상남도 함양군 백전면 구산대안로 10-2,,
반딧불작은도서관,경상남도,함양군,작은도서관,10,1250,0,0,경상남도 함양군 함양읍 거면강변길 22,,
용유담작은도서관,경상남도,함양군,작은도서관,12,3000,0,0,경상남도 함양군 휴천면 송전길 364,,
이산책판도서관,경상남도,함양군,작은도서관,10,1350,0,0,경상남도 함양군 서상면 덕유월성로 495,,
휴먼시아새마을작은도서관,경상남도,함양군,작은도서관,30,3378,0,0,경상남도 함양군 함양읍 함양로 1246(함양교산휴먼시아),,
LH함양서하어린이도서관,경상남도,함양군,작은도서관,30,1200,0,0,경상남도 함양군 서하면 송계앞길 7-2,,
황산마을 작은도서관,경상남도,함양군,작은도서관,10,1000,0,0,경상남도 함양군 서하면 황산길 53-30,,
유림 커뮤니티 도서관,경상남도,함양군,작은도서관,20,1546,0,0,경상남도 함양군 유림면 천왕봉로 2959,,
청사도서관,경상북도,성주군,공공도서관,124,15000,50,350,경상북도 성주군 성주읍 청사도서관길13,1299,427.9
대림도서관,서울특별시,영등포구,공공도서관,168,70383,46,3465,서울특별시 영등포구 도신로27,727,1945
목화마을공립작은도서관,서울특별시,영등포구,작은도서관,24,12705,0,0,서울특별시 영등포구 선유로 13길 25,,110
대림2동공립작은도서관,서울특별시,영등포구,작은도서관,16,11139,0,0,서울특별시 영등포구 대림로23길25,,34
대림1동공립작은도서관,서울특별시,영등포구,작은도서관,24,14480,0,0,서울특별시 영등포구 디지털로441,,130
신길7동공립작은도서관,서울특별시,영등포구,작은도서관,18,10351,0,0,서울특별시 영등포구 여의대방로43길10,,39
신길6동공립작은도서관,서울특별시,영등포구,작은도서관,30,12201,0,0,서울특별시 영등포구 대방천로 167,,96
신길5동공립작은도서관,서울특별시,영등포구,작은도서관,6,4739,0,0,서울특별시 영등포구 도림로264,,66
신길4동공립작은도서관,서울특별시,영등포구,작은도서관,20,7038,0,0,서울특별시 영등포구 신길로42길1,,36
신길1동공립작은도서관,서울특별시,영등포구,작은도서관,25,17276,0,0,서울특별시 영등포구 영등포로84길24-5,,97
양평2동공립작은도서관,서울특별시,영등포구,작은도서관,13,7579,0,0,서울특별시영등포구 선유로47길30(4층),,36
경상북도교육청상주도서관,경상북도,상주시,공공도서관,1208,208781,325,10450,경상북도 상주시 상서문1길 127,7628,3898
경상북도교육청 울릉도서관,경상북도,울릉군,공공도서관,60,83626,70,5267,경상북도 울릉군 울릉읍 봉래길 128-10,731,633.48
효성도서관,인천광역시,계양구,공공도서관,117,48847,8,0,인천광역시 계양구 봉오대로600번길 14,,
서운도서관,인천광역시,계양구,공공도서관,105,41236,11,0,인천광역시 계양구 아나지로457번길 16,,
동양도서관,인천광역시,계양구,공공도서관,142,45849,24,0,인천광역시 계양구 당미길 31,,
임학도서관,인천광역시,계양구,공공도서관,44,16569,10,0,인천광역시 계양구 임학동로 26-1,,
별똥별어린이도서관,인천광역시,계양구,공공도서관,0,0,0,0,인천광역시 계양구 봉오대로 510,,
서구도서관,인천광역시,서구,공공도서관,480,263047,103,13959,인천광역시 서구 건지로334번길 45,,
둔덕청마꽃들작은도서관,경상남도,거제시,작은도서관,20,4939,0,0,경상남도 거제시 둔덕면 거제남서로 4624,121,121
엘마르작은도서관,경상남도,거제시,작은도서관,24,5600,0,0,경상남도 거제시 일운면 지세포해안로 258,100,100
꿈꾸는놀이터작은도서관,경상남도,거제시,작은도서관,30,2001,0,0,경상남도 거제시 제산로 17,144,144
외포바다마을작은도서관,경상남도,거제시,작은도서관,30,4352,0,0,경상남도 거제시 장목면 외포 4길 12,165,165
자양3동새마을작은도서관,서울특별시,광진구,작은도서관,20,9726,0,0,서울특별시 광진구 뚝섬로 568(자양동),,92.5
자양4동새마을작은도서관,서울특별시,광진구,작은도서관,8,4826,0,0,서울특별시 광진구 아차산로24길 17(자양동),,47.2
화양동새마을작은도서관,서울특별시,광진구,작은도서관,30,10776,0,0,서울특별시 광진구 능동로17길 39(화양동),,83.5
완산뜨락작은도서관,경상북도,영천시,작은도서관,20,8203,0,0,경상북도 영천시 시장로 151,,140
북안버들숲작은도서관,경상북도,영천시,작은도서관,20,6434,0,0,경상북도 영천시 북안면 운북로 1995,,165
서귀포시삼매봉도서관,제주특별자치도,서귀포시,공공도서관,170,95705,27,4671,제주특별자치도 서귀포시 남성중로153번길 15,13189,1624
